key,Narration,Candidate
fake_297,INF/INFT/014395628833/NECTAR AGENCY,014395628833/NECTAR AGENCY
fake_298,INF/INFT/056294737715/PLUTO INDUSTRIES,056294737715/PLUTO INDUSTRIES Delivery
fake_299,037196205888/Funds Transferred to SheStruct,INF/INFT/037196205888/FundTransfer to SheStruct/HUAWEI Corp
fake_300,Transfer to Dhrupata Das,860101508883/Dhrupata Das/2022133495780 ICIC0008601 860101508883 Dhrupata Das
fake_301,RECEIVED Transfer NESTLE INDIA LIMITED,Received from NestInd
fake_302,RTGS-PTIR52041102000141666-CASCADE RETAILS-922020018886453-SCBL0036012,RTGS-PTIR52041102000141676-CASCADE RETAIL Outbound
fake_303,822410028455: Account Closure Proceeds,HDFC Account CLOSED NO. 822410028455
fake_304,Received from SDBBL,RECEIVED TRANSFER SHIMANTO Bank LIMITED
fake_305,AUTO ENTRIES D/LOAN D D INSURANCE PRM FEB 28,NONREF /TYPE/990/AUTO D 41-47-DINS0228 D Vehicle Insurance PRM
fake_306,MUM TO CCU,TO TRANSFER-INB BSNL
fake_307,NEFT-N357392271947374-FASHIONISTA,NEFT-N357392271947374-Fashionista PVT LTD-KIRBY-00140330006978-HDFC0000251
fake_308,620040031578183 : Closure Proceeds,AXIS ACC CLOSED NO. 620040031578183
fake_309,COMM ON DOMESTIC BILL OVER LC,COMM ON DOMESTIC BILL
fake_310,TO TRANSFER-INB MTNL PAYMENT--,708600029
fake_311,IDBN25045636292-SUN PHARMACEUTICAL INDUSTRIES LTD,NEFT-IDBN25045636292-SUN PHARMA IND LTD-4200110885-650014172298-INDB0000008
fake_312,ICICI FDR NO. 045910006381,TRF TO FD no. 045910006381
fake_313,MUM SBI TO CHE HSBC,TO TRANSFER-INB RTGS UTR NO: SBINR52022093007379199--KIRBY MUM HSBC ACCOUNT
fake_314,TRF TO FD no. 010810099277,CA02/29052022 00084
fake_315,RTGS-HBINR42022014611971234-LOKESH STEELS PRIVATEL,RTGS-HBINR42022014611971234-LOKESH STEELS PRIVATELIMITED-507801010036032-HBIN06
fake_316,INF/INFT/044594958691/PEARL BAY,INF/INFT/044594958691/PEARL Bay Pty Ltd
fake_317,60100228761660/Amit Sinha/20240109600799 HDFC0000054 60100228761660 Amit Sinha,Payment against inv Mr. Sinha
fake_318,RTGS-IDBI678787-HARSHA CONTAINERS LTD,RTGS-HARSHA CONTAINERS LIMITED
fake_319,BHARAT FINANCIAL-RTGS KKBK,RTGS TRANSFER-BHARAT FINANCIAL INCLUSION LTD
fake_320,TRANSFER RED MART TECHNOLOGY,TRANSACTED FROM RED MART TECHNOLOGY AND INFRASTRUCTURE
fake_321,SWIFT TRANSFER REF: RSMITH123,INTERNATIONAL WIRE TRANSFER R.S WIRE123
fake_322,NEFT-N347722232647-OMEGA INTERIORS,NEFT-OMEGA INTERIOR DESIGNERS
fake_323,RTGS-HDFC512211147834966-ORIENT CEMENT,RTGS-ORIENT CEMENT LIMITED
fake_324,120301000223/BARAK OBAMA/20230329225255 BARB0000100 120301000223 BARACK OBAMA,BARACK OBAMA
fake_325,PREFERRED AUTO INSURANCE PAYMENT,AUTO INSURANCE PREMIUM FOR PREFERRED INSURANCE CO.
fake_326,RTGS-BAR658950007-SHRI KRISHNA METALS,SHRI KRISHNA METALS
fake_327,RECEIVED TRANSFER FROM INTERNATIONAL INDUSTRIES,FUND RECEIVED FOR/IN INDUSTRIES INTERNATIONAL
fake_328,BY TRANSFER-RTGS UTR NO: ICICW5255454--BLUE MILLER INDUSTRIES,RTGS UTR NO: ICICW5255454
fake_329,GROSS SALE PROCEED,INCOME FROM SALE
fake_330,LC PAYMENT TO STANDARD CHARTERED,LIQUIDATION OF BILL LC STANDARD CHARTERED
fake_331,ATLANTIC SPARE PARTS PAYMENT,PAYMENT TO ATLANTIC FOR SPARE PART
fake_332,LOAN RECEIVED HSB-M54545,LOAN DISBURSEMENT HSB-M54545
fake_333,INF/INFT/0122802722,INF/INFT/0122802722/TR1ANSFER TO KB/HAMILTON CORPORATION
fake_334,RTGS-ICIC78572944-STEELECO INDUSTRIES-PVT LTD,HYD ICICI TO HYD HDFC
fake_335,ADITYA BIRLA PAYROLL,SALARY PAYMENT TO ADITYA BIRLA STAFF
fake_336,CRED BAL CARRY-OVER YES BANK,NONREF /TYPE/123/BAL TAKE-O 04-2Y-YNB201519 YES-BANK
fake_337,RED APPLE INVESTMENT,FUND TRANSFERRED-RED APPLE INVESTMENTS
fake_338,RTGS-HDFRS500003109-SEA HORSE SHIPPING,RTGS CR SEA HORSE SHIPPING
fake_339,ALBERT DAVID CHEMICALS,TRANSFER TO UNION BANK/ALBERT DAVID
fake_340,SHREYA INSURANCE PREMIUM PAYMENT,PAYMENT OF SHREYA INSURANCE
fake_341,BY TRANSFER-RTGS UTR NO: HDFCR52022058654634--SHELTER BUILDCON PVT LTD,RTGS UTR NO: HDFC
fake_342,BALANCE CARRYOVER-RELIC ENTERTAINMENT,NONREF /TYPE/564/BAL TAKE-O 03-1Y-RE201976 RELIC-ENT
fake_343,BY TRANSFER-RTGS UTR NO: ICICR60077008886932--PRINCE CONSTRUCTIONS,PAYMENT OF PRINCE CONSTRUCTIONS
fake_344,TRANSFER BY SWIFT-RED STAR LTD,SWIFT PAYMENT-RED STAR LIMITED
fake_345,RTGS-KIVL-554788-PLATINO TEXTILES,RTGS-PLATINO TEXTILES PVT LTD
fake_346,NEFT-N2512158733546-GRANDVIEW HOTELS,PAYMENT FOR GRANDVIEW HOTELS
fake_347,INF/INFT/0281622264,INF/INFT/0281622264/TR8ANSFER TO MMD/MAXIM BUILDING
fake_348,RECEIVED TRANSFER    LIBERTY RECORDS,RECD FROM LIBERTY RECORDS LTD
fake_349,NEFT-N2612232748344-GENESIS INFRASTRUCTURE,NEFT-GENESIS INFRASTRUCTURE PVT LTD
fake_350,2834053220/Roger Smith/2032306925430 DBC0001050 2834053220 Roger Smith,Roger Smith
fake_351,SALARY TRANSFER - MR. HEMAN HOLMES,MR. HEMAN HOLMES
fake_352,RTGS Cr-SBI00000410-LUCIDA CONSTRUCTIONS-LUCIDA CONSTRUCTION-UTIBR52022030700212648,HYD SBI TO HYD PNB
fake_353,LC BILL PAYMENT 6786,LIQUIDATION OF BILL LC 6786
fake_354,BILL TRF 3333,TRANSFER OF BILL PAYMENT 3333
fake_355,RTGS UTR NO: SC8002,BY TRANSFER-RTGS UTR NO: SC8002--DENVER PROPERTIES LTD
fake_356,TRANSFERRED TO EPIC PLASTIC MFG CO,EPIC PLASTIC MFG CO
fake_357,CRED BAL CARRY-OVER VEGA TELECOM,NONREF /TYPE/734/BAL TAKE-O 04-6Y-CP208217 VEGA-TELCOM
fake_358,RTGS-ICIC78572944-STEELECO INDUSTRIES-PVT LTD,RTGS-ICIC7288-STEELECO-PVT LTD
fake_359,INF/INFT/0152727465,TRANSFER TO DB/EAGLE TRANSPORT
fake_360,NEFT-N3333267279363-TITAN INDUSTRIAL SUPPLIES,NEFT-TITAN INDUSTRIAL SUPPLIES
fake_361,SAVINGS TRANSFER TO JOHN PARKER,JOHN PARKER
fake_362,RTGS PENDING-SOUTHERN ENGINEERING,RTGS-SOUTHERN ENGINEERING WORKS
fake_363,75895789035/ROBERT EVANS/20250229340187 SBK0000135 75895789035 ROBERT EVANS,ROBERT EVANS
fake_364,SWIFT-CIBC997263-MTX TECHNOLOGIES,SWIFT TRANSFER-MTX TECHNOLOGIES
fake_365,BY TRANSFER-RTGS UTR NO: SCBR5672--GOLDEN CITY PROPERTIES,TRANSFER TO GOLDEN CITY
fake_366,50456903122/MICHAEL JOHN/20230229895325 IBR0000020 50456903122 MICHAEL JOHN,MICHAEL JOHN
fake_367,RTGS-HDFCR546623472-COBALT STEELS,RTGS-COBALT STEELS AND ALLOYS
